parent_id,parent_term,child_id,child_term
16124,1st branchial pouch,16125,1st branchial pouch endoderm
36042,2-cell stage conceptus,16034,second polar body
36042,2-cell stage conceptus,16035,zona pellucida
36042,2-cell stage conceptus,16036,2-cell stage embryo
16272,2nd branchial arch,16882,2nd branchial arch epithelium
16272,2nd branchial arch,16278,2nd branchial arch endoderm
16272,2nd branchial arch,16273,2nd branchial membrane
16272,2nd branchial arch,16277,2nd branchial arch ectoderm
16272,2nd branchial arch,16275,2nd branchial pouch
16272,2nd branchial arch,16396,2nd branchial groove
16272,2nd branchial arch,16279,2nd branchial arch mesenchyme
16279,2nd branchial arch mesenchyme,16281,2nd branchial arch mesenchyme derived from neural crest
16279,2nd branchial arch mesenchyme,16280,2nd branchial arch mesenchyme derived from head mesoderm
16396,2nd branchial groove,16397,2nd branchial groove ectoderm
16273,2nd branchial membrane,16274,2nd branchial membrane endoderm
16273,2nd branchial membrane,16398,2nd branchial membrane ectoderm
16275,2nd branchial pouch,16276,2nd branchial pouch endoderm
16399,3rd branchial arch,16400,3rd branchial arch ectoderm
16399,3rd branchial arch,16583,3rd branchial membrane
16399,3rd branchial arch,16402,3rd branchial arch mesenchyme
16399,3rd branchial arch,16581,3rd branchial groove
16399,3rd branchial arch,16401,3rd branchial arch endoderm
16399,3rd branchial arch,16586,3rd branchial pouch
16402,3rd branchial arch mesenchyme,16403,3rd branchial arch mesenchyme derived from head mesoderm
16402,3rd branchial arch mesenchyme,16404,3rd branchial arch mesenchyme derived from neural crest
16581,3rd branchial groove,16582,3rd branchial groove ectoderm
16581,3rd branchial groove,16883,3rd branchial groove epithelium
16583,3rd branchial membrane,16584,3rd branchial membrane ectoderm
16583,3rd branchial membrane,16585,3rd branchial membrane endoderm
16586,3rd branchial pouch,16587,3rd branchial pouch endoderm
16587,3rd branchial pouch endoderm,16758,3rd branchial pouch dorsal endoderm
16587,3rd branchial pouch endoderm,16759,3rd branchial pouch ventral endoderm
16900,3rd ventricle,16901,diencephalic part of interventricular foramen
16900,3rd ventricle,16899,infundibular recess of 3rd ventricle
16900,3rd ventricle,35100,3rd ventricle ependyma
16900,3rd ventricle,16902,optic recess
36063,4-8 cell stage conceptus,16034,second polar body
36063,4-8 cell stage conceptus,16037,4-8 cell stage embryo
36063,4-8 cell stage conceptus,16035,zona pellucida
36043,4-cell stage conceptus,16035,zona pellucida
36043,4-cell stage conceptus,31864,4-cell stage embryo
36043,4-cell stage conceptus,16034,second polar body
16760,4th branchial arch,16770,4th branchial arch mesenchyme
16760,4th branchial arch,16884,cervical sinus
16760,4th branchial arch,16761,4th branchial groove
16760,4th branchial arch,16769,4th branchial arch endoderm
16760,4th branchial arch,16766,4th branchial pouch
16760,4th branchial arch,16768,4th branchial arch ectoderm
16760,4th branchial arch,16763,4th branchial membrane
16770,4th branchial arch mesenchyme,16772,4th branchial arch mesenchyme derived from neural crest
16770,4th branchial arch mesenchyme,16771,4th branchial arch mesenchyme derived from head mesoderm
16761,4th branchial groove,16762,4th branchial groove ectoderm
16763,4th branchial membrane,16765,4th branchial membrane endoderm
16763,4th branchial membrane,16764,4th branchial membrane ectoderm
16766,4th branchial pouch,16767,4th branchial pouch endoderm
16917,4th ventricle,35355,4th ventricle ependyma
16917,4th ventricle,17257,4th ventricle lateral recess
32742,4th ventricle choroid plexus,19074,medulla oblongata part of 4th ventricle choroid plexus
32742,4th ventricle choroid plexus,17568,metencephalon part of 4th ventricle choroid plexus
32766,6th branchial arch,35101,6th branchial arch ectoderm
32766,6th branchial arch,32765,6th branchial arch mesenchyme
36044,8-cell stage conceptus,16034,second polar body
36044,8-cell stage conceptus,31865,8-cell stage embryo
36044,8-cell stage conceptus,16035,zona pellucida
35102,abdomen,35103,abdomen musculature
35103,abdomen musculature,17744,anterior abdominal wall musculature
35104,abdominal segment of trunk,35102,abdomen
35104,abdominal segment of trunk,35992,abdominal lymph node
35104,abdominal segment of trunk,35931,pelvis
35106,accessory olfactory bulb,35108,accessory olfactory bulb glomerular layer
35106,accessory olfactory bulb,35110,accessory olfactory bulb internal plexiform layer
35106,accessory olfactory bulb,35107,accessory olfactory bulb external plexiform layer
35106,accessory olfactory bulb,35109,accessory olfactory bulb granule cell layer
35106,accessory olfactory bulb,35111,accessory olfactory bulb mitral cell layer
17265,accessory XI nerve,17267,accessory XI nerve spinal component
17265,accessory XI nerve,17266,accessory XI nerve cranial component
18346,acetabular region,19021,synovial cavity of hip bone
17514,adenohypophysis,17517,adenohypophysis pars tuberalis
17514,adenohypophysis,17515,adenohypophysis pars anterior
17514,adenohypophysis,17516,adenohypophysis pars intermedia
17514,adenohypophysis,17518,remnant of Rathke's pouch
35112,adipose tissue,35926,white fat
35112,adipose tissue,19209,brown fat
35112,adipose tissue,35829,subcutaneous adipose tissue
35112,adipose tissue,35340,fat pad
18427,adrenal cortex,35113,adrenal cortex zone
35113,adrenal cortex zone,35114,adrenal gland zona fasciculata
35113,adrenal cortex zone,35116,adrenal gland zona reticularis
35113,adrenal cortex zone,35115,adrenal gland zona glomerulosa
18426,adrenal gland,18427,adrenal cortex
18426,adrenal gland,18428,adrenal medulla
28826,adventitia of bladder,28831,adventitia of fundus
28826,adventitia of bladder,28836,adventitia of trigone
28826,adventitia of bladder,30144,adventitia of neck
30443,adventitia of epididymis,29759,adventitia of corpus of epididymis
30443,adventitia of epididymis,29753,adventitia of cauda of epididymis
30443,adventitia of epididymis,29765,adventitia of caput of epididymis
31003,adventitia of vagina,29939,adventitia of lower part of vagina
31003,adventitia of vagina,29945,adventitia of upper part of vagina
28266,afferent arteriole of mature renal corpuscle,28272,rest of afferent arteriole
28266,afferent arteriole of mature renal corpuscle,28269,part of afferent arteriole forming the juxtaglomerular complex
17581,alar columns,18574,dorsal grey horn
16246,alimentary system,16262,oral region
16246,alimentary system,35990,alimentary system ectoderm
16246,alimentary system,35117,alimentary system smooth muscle
16246,alimentary system,16831,anal region
16246,alimentary system,35994,alimentary system vascular element
16246,alimentary system,35180,bowel
16246,alimentary system,16247,gut
16246,alimentary system,32683,alimentary system epithelium
16246,alimentary system,35991,alimentary system endoderm
16246,alimentary system,16258,mouth-foregut junction
16246,alimentary system,32886,alimentary system mesenchyme
16107,allantois,31860,allantois blood vessel
16107,allantois,16264,allantois mesenchyme
16107,allantois,31861,allantois endothelium
16107,allantois,16108,allantois mesoderm
32692,alveolar system,35433,interalveolar septum
32692,alveolar system,32682,lung alveolus
32692,alveolar system,35119,alveolar sac
32692,alveolar system,32694,alveolar duct
32692,alveolar system,35122,alveolus smooth muscle
35120,alveolar wall,35121,alveolus epithelium
16109,amnion,16111,amnion mesoderm
16109,amnion,16265,amnion mesenchyme
16109,amnion,16110,amnion ectoderm
16076,amniotic fold,16078,amniotic fold mesoderm
16076,amniotic fold,16077,amniotic fold ectoderm
32672,amygdala,35476,lateral amygdaloid nucleus
32672,amygdala,35694,posterior amygdaloid nucleus
32672,amygdala,35125,amygdalopirifrom transition area
32672,amygdala,35128,anterior cortical amygdaloid nucleus
32672,amygdala,35254,cortical amygdaloid nucleus
32672,amygdala,35168,basomedial amygdaloid nucleus
32672,amygdala,35434,intercalated amygdaloid nucleus
32672,amygdala,35124,amygdalohippocampal area
32672,amygdala,35204,central amygdaloid nucleus
32672,amygdala,35127,anterior amygdaloid area
32672,amygdala,35167,basolateral amygdaloid nucleus
32672,amygdala,35543,medial amygdaloid nucleus
18256,anal canal,27531,anal canal mucosa
18256,anal canal,18257,anal canal rostral part
18256,anal canal,18835,anal canal epithelium
18256,anal canal,18836,anal canal lumen
18256,anal canal,27535,anal canal submucosa
18256,anal canal,18837,anal canal vascular element
18256,anal canal,25039,caudal one-third of anal canal
18256,anal canal,17350,rostral two-thirds of anal canal
18256,anal canal,18261,anal canal caudal part
18261,anal canal caudal part,18262,anal canal caudal part mesenchyme
18261,anal canal caudal part,18393,anal canal caudal part lumen
18261,anal canal caudal part,18264,anal canal caudal part vascular element
18261,anal canal caudal part,27215,anal canal caudal part mucosa
18261,anal canal caudal part,27217,anal canal caudal part submucosa
18261,anal canal caudal part,18263,anal canal caudal part epithelium
27215,anal canal caudal part mucosa,27221,anal canal caudal part gland
27215,anal canal caudal part mucosa,18263,anal canal caudal part epithelium
27215,anal canal caudal part mucosa,27223,anal canal caudal part lamina propria
18835,anal canal epithelium,18263,anal canal caudal part epithelium
18835,anal canal epithelium,18259,anal canal rostral part epithelium
27531,anal canal mucosa,27547,anal canal lamina propria
27531,anal canal mucosa,27225,anal canal rostral part mucosa
27531,anal canal mucosa,27215,anal canal caudal part mucosa
27531,anal canal mucosa,27543,anal canal gland
27531,anal canal mucosa,18835,anal canal epithelium
18257,anal canal rostral part,27227,anal canal rostral part submucosa
18257,anal canal rostral part,18259,anal canal rostral part epithelium
18257,anal canal rostral part,18260,anal canal rostral part vascular element
18257,anal canal rostral part,27225,anal canal rostral part mucosa
18257,anal canal rostral part,18394,anal canal rostral part lumen
18257,anal canal rostral part,18258,anal canal rostral part mesenchyme
27225,anal canal rostral part mucosa,27231,anal canal rostral part lamina propria
27225,anal canal rostral part mucosa,27233,anal canal rostral part gland
27225,anal canal rostral part mucosa,18259,anal canal rostral part epithelium
16831,anal region,18266,internal anal sphincter
16831,anal region,16832,cloacal membrane
16831,anal region,36052,anal sphincter
16831,anal region,18256,anal canal
16831,anal region,18265,external anal sphincter
16831,anal region,17177,endoderm component of anal membrane
16831,anal region,19159,pectinate line
32783,ankle,35126,ankle joint
17744,anterior abdominal wall musculature,18164,rectus abdominis
17744,anterior abdominal wall musculature,18162,external oblique
17744,anterior abdominal wall musculature,17746,anterior abdominal wall undifferentiated pre-muscle mass
17744,anterior abdominal wall musculature,18165,transversus abdominis
17744,anterior abdominal wall musculature,18163,internal oblique
17744,anterior abdominal wall musculature,17745,anterior abdominal wall skeletal muscle
17744,anterior abdominal wall musculature,35603,oblique abdominal muscle
17770,anterior horn of lateral ventricle,18779,anterior horn of lateral ventricle choroid plexus
35130,anterior medial cortex,35242,cingulate cortex
18594,anterior naris,18595,anterior naris epithelium
16149,anterior pro-rhombomere,16151,anterior pro-rhombomere neural fold
16149,anterior pro-rhombomere,16150,anterior pro-rhombomere floor plate
16151,anterior pro-rhombomere neural fold,16152,anterior pro-rhombomere neural crest
29794,anterior prostate gland,29802,anterior prostatic interstitium
29794,anterior prostate gland,29796,anterior prostatic epithelium
29796,anterior prostatic epithelium,29800,basal epithelium of anterior prostate
29796,anterior prostatic epithelium,29798,glandular epithelium of anterior prostate
29802,anterior prostatic interstitium,29804,smooth muscle of anterior prostate
29802,anterior prostatic interstitium,29806,rest of interstitium of anterior prostate
35132,anterior thalamic group,35133,anterior ventral thalamic nucleus
35132,anterior thalamic group,35129,anterior dorsal thalamic nucleus
18601,aorta,18603,thoracic aorta
18601,aorta,17613,arch of aorta
18601,aorta,35135,aorta smooth muscle
18601,aorta,35139,aorta wall
18601,aorta,35134,aorta endothelium
18601,aorta,18606,descending aorta
35139,aorta wall,35138,aorta tunica media
35139,aorta wall,35137,aorta tunica intima
35139,aorta wall,35136,aorta tunica adventitia
17870,aortic valve,18627,aortic valve leaflet
16827,aortico-pulmonary spiral septum,17014,ascending aorta
16827,aortico-pulmonary spiral septum,17015,pulmonary trunk
32729,appendicular skeleton,35379,girdle bone
32729,appendicular skeleton,32702,limb skeleton
32729,appendicular skeleton,35494,limb bone
32659,arachnoid mater,17805,spinal cord arachnoid mater
32659,arachnoid mater,32661,brain arachnoid mater
19236,arcuate ligament,19237,medial arcuate ligament
19236,arcuate ligament,19238,lateral arcuate ligament
17413,arm,17414,elbow
17413,arm,32784,wrist
17413,arm,36053,arm skeletal muscle
17413,arm,17421,shoulder
17413,arm,17424,upper arm
17413,arm,17417,forearm
35144,arterial blood vessel,35146,arteriole
35144,arterial blood vessel,35147,artery
16201,arterial system,35202,celiac artery
16201,arterial system,18621,testicular artery
16201,arterial system,35342,femoral artery
16201,arterial system,18609,carotid artery
16201,arterial system,19213,facial artery
16201,arterial system,17314,vertebral artery
16201,arterial system,18608,bronchial artery
16201,arterial system,18749,axillary artery
16201,arterial system,17311,maxillary artery
16201,arterial system,17861,posterior cerebral artery
16201,arterial system,17616,intersegmental artery
16201,arterial system,18239,middle cerebral artery
16201,arterial system,35144,arterial blood vessel
16201,arterial system,18613,cerebral artery
16201,arterial system,17006,ductus caroticus
16201,arterial system,16684,branchial arch artery
16201,arterial system,19160,coronary artery
16201,arterial system,17308,hyoid artery
16201,arterial system,19096,lumbar artery
16201,arterial system,17859,hepatic artery
16201,arterial system,18754,greater palatine artery
16201,arterial system,17313,stapedial artery
16201,arterial system,19216,splenic artery
16201,arterial system,17015,pulmonary trunk
16201,arterial system,17008,pulmonary artery
16201,arterial system,16328,internal carotid artery
16201,arterial system,16204,dorsal aorta
16201,arterial system,18622,thyroid artery
16201,arterial system,35353,nasal artery
16201,arterial system,17615,innominate artery
16201,arterial system,28373,renal artery
16201,arterial system,19214,median sacral artery
16201,arterial system,18620,ovarian artery
16201,arterial system,18601,aorta
16201,arterial system,35292,dorsal nasal artery
16201,arterial system,17309,iliac artery
16201,arterial system,35374,gastric artery
16201,arterial system,17855,common carotid artery
16201,arterial system,17613,arch of aorta
16201,arterial system,19242,hyaloid artery
16201,arterial system,18611,external carotid artery
16201,arterial system,16331,umbilical artery embryonic part
16201,arterial system,19309,superior cerebellar artery
16201,arterial system,16207,vitelline artery
16201,arterial system,17014,ascending aorta
16201,arterial system,17617,subclavian artery
16201,arterial system,18598,communicating artery
16201,arterial system,17307,basilar artery
16201,arterial system,18617,internal thoracic artery
16201,arterial system,19097,subcostal artery
16201,arterial system,17858,ductus arteriosus
16201,arterial system,18750,epigastric artery
16201,arterial system,17312,mesenteric artery
16201,arterial system,19212,celiac trunk
16201,arterial system,17007,ophthalmic artery
16201,arterial system,18241,spinal artery
16201,arterial system,35909,ventral nasal artery
16201,arterial system,17854,anterior cerebral artery
16201,arterial system,18753,intercostal artery
16201,arterial system,19215,musculo-phrenic artery
16201,arterial system,35145,arterial system endothelium
35147,artery,35148,artery endothelium
35150,articular system,35456,joint
35150,articular system,35149,articular cartilage
17014,ascending aorta,25968,early coronary artery
29874,atretic follicle,29876,oocyte of atretic follicle
29874,atretic follicle,31260,theca of atretic follicle
29874,atretic follicle,29878,apoptotic germinal cell
36055,atrium auricular region,36057,atrium auricular region endocardial lining
36055,atrium auricular region,36056,atrium auricular region cardiac muscle
32746,atrium cardiac muscle,17326,right atrium cardiac muscle
32746,atrium cardiac muscle,16345,common atrial chamber cardiac muscle
32746,atrium cardiac muscle,17320,left atrium cardiac muscle
36002,auditory system,16193,ear
35157,auricle,35158,auricular cartilage
35157,auricle,35159,auricular muscle
18221,autonomic ganglion,18223,paraganglion of Zuckerkandl
18221,autonomic ganglion,18222,ciliary ganglion
18224,autonomic nerve plexus,18225,hypogastric plexus
16984,autonomic nervous system,17270,parasympathetic nervous system
16984,autonomic nervous system,18221,autonomic ganglion
16984,autonomic nervous system,18224,autonomic nerve plexus
16984,autonomic nervous system,16985,sympathetic nervous system
32722,autopod,32618,limb interdigital region
32722,autopod,32725,limb digit
32722,autopod,32723,autopod skin
32722,autopod,35160,autopod joint
32723,autopod skin,32615,digit skin
32723,autopod skin,18504,foot skin
32723,autopod skin,18486,hand skin
32723,autopod skin,32610,limb interdigital region skin
18166,axial musculature,18169,psoas major
18166,axial musculature,35769,serratus muscle
18166,axial musculature,25130,pre-vertebral muscle of neck
18166,axial musculature,18520,ilio-psoas
18166,axial musculature,18167,axial muscle
18166,axial musculature,18524,quadratus lumborum
18166,axial musculature,18168,erector spinae
18166,axial musculature,18521,intercostal muscle
18166,axial musculature,18170,psoas minor
18166,axial musculature,18525,serratus anterior
17214,axial skeleton,32671,vertebral pre-cartilage condensation
17214,axial skeleton,17215,axial skeleton cervical region
17214,axial skeleton,35919,vertebral column
17214,axial skeleton,17676,axial skeleton sacral region
17214,axial skeleton,17395,sclerotome condensation
17214,axial skeleton,17393,axial skeleton lumbar region
17214,axial skeleton,32740,vertebra
17214,axial skeleton,18043,axial skeleton tail region
17214,axial skeleton,17396,axial skeleton thoracic region
17214,axial skeleton,32669,vertebral cartilage condensation
17214,axial skeleton,32739,intervertebral disc
17215,axial skeleton cervical region,17392,cervical vertebral cartilage condensation
17215,axial skeleton cervical region,19415,cervical intervertebral disc
17215,axial skeleton cervical region,17216,cervical vertebral pre-cartilage condensation
17215,axial skeleton cervical region,17674,cervical vertebra
17215,axial skeleton cervical region,19207,ligamentum nuchae
17393,axial skeleton lumbar region,18007,lumbar vertebra
17393,axial skeleton lumbar region,17394,lumbar vertebral pre-cartilage condensation
17393,axial skeleton lumbar region,17675,lumbar vertebral cartilage condensation
17393,axial skeleton lumbar region,19468,lumbar intervertebral disc
17676,axial skeleton sacral region,17677,sacral vertebral pre-cartilage condensation
17676,axial skeleton sacral region,19575,sacral intervertebral disc
17676,axial skeleton sacral region,18336,sacral vertebra
17676,axial skeleton sacral region,18009,sacral vertebral cartilage condensation
18043,axial skeleton tail region,18045,tail vertebral pre-cartilage condensation
18043,axial skeleton tail region,18374,tail vertebra
18043,axial skeleton tail region,19592,tail intervertebral disc
18043,axial skeleton tail region,18044,tail vertebral cartilage condensation
17396,axial skeleton thoracic region,17397,rib pre-cartilage condensation
17396,axial skeleton thoracic region,19020,costo-vertebral joint
17396,axial skeleton thoracic region,17398,thoracic vertebral pre-cartilage condensation
17396,axial skeleton thoracic region,18011,thoracic vertebra
17396,axial skeleton thoracic region,17679,thoracic vertebral cartilage condensation
17396,axial skeleton thoracic region,18010,rib
17396,axial skeleton thoracic region,17678,rib cartilage condensation
17396,axial skeleton thoracic region,35262,costal cartilage
17396,axial skeleton thoracic region,19489,thoracic intervertebral disc
35162,back of trunk,35161,back musculature
17582,basal columns,18575,ventral grey horn
32673,basal ganglia,35244,claustrum
32673,basal ganglia,32780,pallidum
32673,basal ganglia,32672,amygdala
19108,biceps brachii,25053,tendon of biceps brachii
16561,biliary bud,16563,biliary bud intrahepatic part
16561,biliary bud,16713,gallbladder primordium
16561,biliary bud,16562,biliary bud extrahepatic part
35172,biliary tract,35171,bile duct
18321,bladder,35897,bladder mucosa
18321,bladder,28637,detrusor muscle of bladder
18321,bladder,32275,submucosa of bladder
18321,bladder,28679,vasculature of bladder
18321,bladder,30088,lamina propria of bladder
18321,bladder,35174,bladder trigone region
18321,bladder,28619,muscularis mucosa of bladder
18321,bladder,28826,adventitia of bladder
18321,bladder,31526,nerve of bladder
18321,bladder,28661,serosa of bladder
18321,bladder,35173,bladder fundus region
18321,bladder,28601,urothelium of bladder
18321,bladder,35175,bladder wall
36035,blastocyst,16051,primitive endoderm
36035,blastocyst,16046,trophectoderm
36035,blastocyst,16050,epiblast
36035,blastocyst,16053,parietal endoderm
36035,blastocyst,16044,blastocoelic cavity
36035,blastocyst,16041,inner cell mass
36046,blastocyst-stage conceptus,36035,blastocyst
36046,blastocyst-stage conceptus,16034,second polar body
36046,blastocyst-stage conceptus,16035,zona pellucida
16332,blood,35690,plasma
32743,blood vessel,35176,blood vessel endothelium
32743,blood vessel,35177,blood vessel smooth muscle
16060,body cavity or lining,32856,mesothelium
16060,body cavity or lining,26164,cavity of physiological umbilical hernia
16060,body cavity or lining,16088,intraembryonic coelom
16060,body cavity or lining,16061,proamniotic cavity embryonic part
35178,body fluid or substance,35683,peritoneal fluid
17504,body of pancreas,17505,dorsal pancreatic duct of pancreas body
17504,body of pancreas,17506,pancreas body parenchyma
36031,body region,16748,tail
36031,body region,31857,trunk
36031,body region,31858,head
36031,body region,16405,limb
36031,body region,35587,neck
32782,bone,35681,periosteum
32782,bone,32760,bone marrow
32782,bone,35179,bone tissue
32782,bone,35873,trabecular bone
35179,bone tissue,35250,compact bone
35179,bone tissue,35304,endochondral bone
35180,bowel,35181,bowel wall
28257,Bowman's capsule of mature renal corpuscle,28260,parietal epithelium of mature renal corpuscle
28257,Bowman's capsule of mature renal corpuscle,28263,urinary space of mature renal corpuscle
27973,Bowman's capsule of maturing renal corpuscle,27985,urinary space of maturing renal corpuscle
27973,Bowman's capsule of maturing renal corpuscle,30031,glomerular mesangium of maturing renal corpuscle
27973,Bowman's capsule of maturing renal corpuscle,27979,parietal epithelium of maturing renal corpuscle
16988,brachial plexus,18802,axillary nerve
16988,brachial plexus,17278,radial nerve
16988,brachial plexus,17277,median nerve
16988,brachial plexus,17279,ulnar nerve
16894,brain,35243,circumventricular organ
16894,brain,32662,brain meninges
16894,brain,32680,brain marginal layer
16894,brain,16916,hindbrain
16894,brain,35182,brain blood vessel
16894,brain,16974,midbrain
16894,brain,32674,brain ventricle
16894,brain,35187,brain white matter
16894,brain,16895,forebrain
16894,brain,32678,brainstem
16894,brain,35184,brain grey matter
16894,brain,32857,midbrain-hindbrain junction
16894,brain,32741,choroid plexus
16894,brain,32681,brain mantle layer
16894,brain,32676,brain floor plate
16894,brain,35183,brain ependyma
16894,brain,32679,brain ventricular layer
16894,brain,32804,brain subventricular zone
16894,brain,35186,brain vascular element
35184,brain grey matter,35185,brain nucleus
32662,brain meninges,32661,brain arachnoid mater
32662,brain meninges,32666,brain subarachnoid space
32662,brain meninges,32668,brain dura mater
32662,brain meninges,32667,brain pia mater
35185,brain nucleus,36051,amygdaloid nucleus
18631,brain venous system,18632,hindbrain venous system
35187,brain white matter,35237,cerebral white matter
35187,brain white matter,35235,cerebellum white matter
35187,brain white matter,35189,brainstem white matter
32678,brainstem,35189,brainstem white matter
32678,brainstem,35188,brainstem reticular formation
32678,brainstem,32790,brainstem nucleus
32790,brainstem nucleus,35923,vestibular VIII nucleus
32790,brainstem nucleus,35721,raphe nucleus
35188,brainstem reticular formation,35693,pontine reticular formation
35188,brainstem reticular formation,35556,medullary reticular formation
35189,brainstem white matter,35695,posterior commissure
16117,branchial arch,16118,1st branchial arch
16117,branchial arch,32755,branchial arch mesenchyme
16117,branchial arch,32750,branchial groove
16117,branchial arch,16272,2nd branchial arch
16117,branchial arch,32754,branchial arch endoderm
16117,branchial arch,16760,4th branchial arch
16117,branchial arch,32752,branchial pouch
16117,branchial arch,16399,3rd branchial arch
16117,branchial arch,35401,branchial arch epithelium
16117,branchial arch,32749,branchial arch membrane
16117,branchial arch,32753,branchial arch ectoderm
16117,branchial arch,32766,6th branchial arch
16684,branchial arch artery,16685,1st arch artery
16684,branchial arch artery,17004,4th arch artery
16684,branchial arch artery,16687,3rd arch artery
16684,branchial arch artery,16686,2nd arch artery
16684,branchial arch artery,17005,6th arch artery
32755,branchial arch mesenchyme,32751,branchial arch mesenchyme derived from head mesoderm
32755,branchial arch mesenchyme,32765,6th branchial arch mesenchyme
32755,branchial arch mesenchyme,32756,branchial arch mesenchyme derived from neural crest
32750,branchial groove,35567,branchial groove epithelium
32750,branchial groove,35190,branchial groove ectoderm
16992,branchial membrane,16993,branchial membrane epithelium
32752,branchial pouch,35191,branchial pouch endoderm
32697,bronchiole,32692,alveolar system
32697,bronchiole,35729,respiratory bronchiole
32697,bronchiole,32693,bronchiole epithelium
32689,bronchus,35193,bronchus connective tissue
32689,bronchus,35195,bronchus smooth muscle
32689,bronchus,32690,bronchus mesenchyme
32689,bronchus,35194,bronchus lamina propria
32689,bronchus,32691,bronchus epithelium
35193,bronchus connective tissue,35192,bronchus cartilage
16259,buccopharyngeal membrane,16261,buccopharyngeal membrane endoderm
16259,buccopharyngeal membrane,16260,buccopharyngeal membrane ectoderm
19286,bulbourethral gland,29792,interstitium of bulbourethral gland
19286,bulbourethral gland,35055,nerve of bulbourethral gland
19286,bulbourethral gland,30801,vasculature of bulbourethral gland
19286,bulbourethral gland,29790,epithelial component of bulbourethral gland
17865,bulboventricular region,17332,bulbar ridge
17865,bulboventricular region,17866,bulbar cushion
16333,bulbus cordis,16334,bulbus cordis caudal half
16333,bulbus cordis,16338,bulbus cordis rostral half
16334,bulbus cordis caudal half,16336,bulbus cordis caudal half endocardial tube
16334,bulbus cordis caudal half,16335,bulbus cordis caudal half cardiac jelly
16334,bulbus cordis caudal half,16337,bulbus cordis caudal half cardiac muscle
16334,bulbus cordis caudal half,16694,bulbus cordis caudal half endocardial lining
16338,bulbus cordis rostral half,16695,bulbus cordis rostral half endocardial lining
16338,bulbus cordis rostral half,16340,bulbus cordis rostral half endocardial tube
16338,bulbus cordis rostral half,16341,bulbus cordis rostral half cardiac muscle
16338,bulbus cordis rostral half,16339,bulbus cordis rostral half cardiac jelly
19416,C1 intervertebral disc,19418,C1 annulus fibrosus
19416,C1 intervertebral disc,19417,C1 nucleus pulposus
26671,C1 neural arch transverse process,26673,C1 foramen transversarium
25145,C1 segmental spinal nerve,25146,C1 dorsal root
25145,C1 segmental spinal nerve,25147,C1 ventral root
25145,C1 segmental spinal nerve,26559,C1 mixed spinal nerve
19431,C1 vertebra,26521,C1 vertebral canal
19431,C1 vertebra,19010,cruciate ligament
19431,C1 vertebra,26523,C1 vertebra neural arch
19431,C1 vertebra,19035,hypochordal arch
26523,C1 vertebra neural arch,26671,C1 neural arch transverse process
26523,C1 vertebra neural arch,26527,C1 neural arch lamina
26523,C1 vertebra neural arch,26529,C1 neural arch pedicle
26523,C1 vertebra neural arch,26525,cartilage primordium of future C1 spinous process
19419,C2 intervertebral disc,19421,C2 annulus fibrosus
19419,C2 intervertebral disc,19420,C2 nucleus pulposus
26675,C2 neural arch transverse process,26677,C2 foramen transversarium
25223,C2 segmental spinal nerve,25256,C2 dorsal root
25223,C2 segmental spinal nerve,25257,C2 ventral root
25223,C2 segmental spinal nerve,26561,C2 mixed spinal nerve
19432,C2 vertebra,26537,C2 vertebral canal
19432,C2 vertebra,26533,C2 vertebra centrum
19432,C2 vertebra,26539,C2 vertebra neural arch
19432,C2 vertebra,26535,odontoid process
